web-scraper-order,web-scraper-start-url,GameLink,GameLink-href,GameHeading,GameLogo-src,GameDescription,GameImage1-src,GameFeature1,GameFeature1Text,GameFeature2,GameFeature2Text,GameFeature3,GameFeature3Text,GameFeature4,GameFeature4text,GameFeature5,GameFeature5Text
"1764651721-1","https://www.aristocratgaming.com/us/where-to-play","Yo Yeti","https://www.aristocratgaming.com/us/slots/games/yo-yeti","Yo Yeti™ is an avalanche of fun!","/_product-assets/games-assets/yeti/yeti_gt_logo.png","There's nothing mythical about this beast. Catch a sighting of Yo Yeti™ as he brings cool personality to Spooky Link™. Featuring Mo Mummy’s Free Games and Jackpot, this levels up the ante with its signature Cash Collect feature. Yo Yeti™ pops up at random to lob snowballs into the reels for your chance at credit prizes, jackpots, and more spin!","/_product-assets/games-assets/yeti/yeti_gt_in-cabinet-image.png","FREE GAMES & JACKPOT FEATURE","Brings back the Free Games & Jackpot features from original Mo Mummy. In Free Games, all Royal symbols are removed from reel strips so only the highest paying symbols remain. In the Jackpot Feature, players pick from 15 symbols until they match 3 jackpots or bonus prizes to win","YO YETI FEATURE","In the Yo Yeti feature, the Yeti character randomly appears and throws snowballs into the reels that turn into credit prizes, jackpots, and +1 spin prizes","","","","","",""
"1764651726-2","https://www.aristocratgaming.com/us/where-to-play","Winner's World","https://www.aristocratgaming.com/us/slots/games/winners-world","Where the Buffalos roam and the winners play","/_product-assets/games-assets/winners-world/winners-world_gt_logo.png","Winners World 2.5 offers an 89 multi-game suite of Aristocrat’s best performing Slot titles with additional Keno, Blackjack, Roulette, and player-favorite Poker games. Featuring all the favorite poker game options along with Slot games such as Wild Lepre' Coins, Buffalo Gold, Storming Jackpots, Sky Rider and may more. Keno games include Buffalo, Miss Kitty, Cash Express 4-card and much more.","/_product-assets/games-assets/winners-world/winners-world_gt_in-cabinet-image.png","Variety of Games","Games included in Winner's World are Slots, Keno, Poker, Blackjack and Roulette","Unique Advantage","More Variety, More Unique Players, More Games available as a bartop or stand-alone cabinet on casino floors","","","","","",""
"1764651730-3","https://www.aristocratgaming.com/us/where-to-play","Wild Pyramid Respins","https://www.aristocratgaming.com/us/slots/game-groups/wild-pyramid-respins","Wild Pyramid Respins™","","","","","","","","","","","","",""
"1764651735-4","https://www.aristocratgaming.com/us/where-to-play","Whisker Wheels","https://www.aristocratgaming.com/us/slots/game-groups/whisker-wheels","Whisker Wheels™","","","","","","","","","","","","",""
"1764651740-5","https://www.aristocratgaming.com/us/where-to-play","Valley of Riches","https://www.aristocratgaming.com/us/slots/games/valley-of-riches","Play your way to adventure","/_product-assets/games-assets/valley-of-riches/valley-of-riches_gt_logo.png","Mo’ Mummy Valley of Riches™ features Cash Collect, a feature you’ll find different than the way you’ve played before. Eye catching graphics and memorable characters create a feast for the senses. With this many ways to achieve bonuses, an enticing expedition of this ancient valley awaits.","/_product-assets/games-assets/valley-of-riches/valley-of-riches_gt_in-cabinet-image-front.png","Cash Collect Feature","Triggered by landing a mummy on reel 1 and a green gem on any other reel. Feature is played on 5x5 reel set with initial Mummy Zone starting as 2x2. All coin prizes landed inside the zone are awarded. A mummy collects more green gems to grow the zone up to 5x5 and win additional bonus spins","Free Games","Triggered by landing Free Game symbols. Retriggers available","Match-3 Jackpot","Wild blue gems may trigger metamorphic that awards Match-3 Jackpot feature to win jackpot","","","",""
"1764651744-6","https://www.aristocratgaming.com/us/where-to-play","Ultimate Fast Cash","https://www.aristocratgaming.com/us/slots/game-groups/ultimate-fast-cash","Ultimate Fast Cash","","","","","","","","","","","","",""
"1764651748-7","https://www.aristocratgaming.com/us/where-to-play","Triple Power","https://www.aristocratgaming.com/us/slots/game-groups/triple-power","Triple Power Link™","","","","","","","","","","","","",""
"1764651753-8","https://www.aristocratgaming.com/us/where-to-play","Timber Wolf Triple Power","https://www.aristocratgaming.com/us/slots/games/timber-wolf-triple-power","Free games available in three thrilling ways","/_product-assets/games-assets/timber-wolf-triple-power/timber-wolf-triple-power_gt_logo.png","Timber Wolf Triple Power™ is the newest game that combines the popular mechanics with the beloved Timber Wolf brand. All 3 Free Games bonuses elegantly complement each other, anchored with the popular Timber Wolf Gold™ bonus, the new Timber Wolf Rising™ bonus adds more reel positions and Timber Wolf Bucks™ bonus provides a unique Jackpot chase for maximum excitement.","/_product-assets/games-assets/timber-wolf-triple-power/timber-wolf-triple-power_gt_in-cabinet-image-front.png","Free Games","3 unique Free Games features with triple metamorphic trigger in addition to the classic 3+ scatter symbol trigger. Combine up to 3 features for the ultimate experience: 
•	Timber Wolf Rising™ - Matrix expands to 4-5-6-5-4 during feature
•	Timber Wolf Gold™ - Collect Gold Buffalo during feature to convert other symbols to Buffalo
•	Timber Wolf Bucks™ - Collect cash bags during feature. Green cash bags award credits. Gold cash bags award Credits/Jackpots","","","","","","","",""
"1764651757-9","https://www.aristocratgaming.com/us/where-to-play","Super Tiger and Dragon","https://www.aristocratgaming.com/us/slots/games/super-tiger-and-dragon","Now roaring on a Portrait screen","/_product-assets/games-assets/super-tiger-and-dragon/super-tiger-and-dragon_gt_logo.png","Fortune Harmony Grand Spins™ Super Tiger & Dragon™ is a beast of a game in its own right. Available on the MarsX Portrait, this game adds a wheel mechanic onto the Fortune Harmony formula to give players a chance at triggering bigger bonuses. The eponymous Super Tiger and Dragon metamorphics may be triggered during the Super Hold & Spin feature, where players may get access to the double Hold & Spin feature without having to trigger the Tiger and Dragon at the same time.","/_product-assets/games-assets/super-tiger-and-dragon/super-tiger-and-dragon_gt_in-cabinet-image.png","SUPER HOLD & SPIN","Triggered from the wheel, a Hold & Spin features 2 credit values per symbol position, respectively. The metamorphic may continue to trigger Win-All current values of its respective side","","","","","","","",""
"1764651762-10","https://www.aristocratgaming.com/us/where-to-play","Super Panda and Ox","https://www.aristocratgaming.com/us/slots/games/super-panda-and-ox","A Portrait of perfect harmony","/_product-assets/games-assets/super-ox-and-panda/super-ox-and-panda_gt_logo.png","When you see Super Panda & Ox™ together, you’re in for a great and rewarding time. Part of the Fortune Harmony Grand Spins™ game group and now available on the MarsX Portrait, it adds a wheel mechanic that lets players to trigger bigger bonuses than ever before. That's not all: triggering the Super Hold & Spin feature may grant players access to the double Hold & Spin without having to trigger the two metamorphics at the same time.","/_product-assets/games-assets/super-ox-and-panda/super-ox-and-panda_gt_in-cabinet-image.png","SUPER HOLD & SPIN","Triggered from the wheel, a Hold & Spin features 2 credit values per symbol position, respectively. The metamorphic may continue to trigger Win-All current values of its respective side.","","","","","","","",""
